frame;intention_direction;intention_proximity
1113;right;12
1114;right;12
1115;right;12
1116;right;12
1117;right;12
1118;right;12
1119;right;12
1120;right;12
1121;right;12
1122;right;12
1123;right;12
1124;right;12
1125;right;12
1126;right;12
1127;right;12
1128;right;12
1129;right;12
1130;right;12
1131;right;12
1132;right;12
1133;right;12
1134;right;12
1135;right;12
1136;right;12
1137;right;12
1138;right;12
1139;right;12
1140;right;12
1141;right;12
1142;right;12
1143;right;12
1144;right;12
1145;right;12
1146;right;12
1147;right;12
1148;right;12
1149;right;12
1150;right;12
1151;right;12
1152;right;12
1153;right;12
1154;right;12
1155;right;12
1156;right;12
1157;right;12
1158;right;12
1159;right;12
1160;right;12
1161;right;12
1162;right;12
1163;right;12
1164;right;12
1165;right;12
1166;right;12
1167;right;12
1168;right;12
1169;right;12
1170;right;12
1171;right;12
1172;right;12
1173;right;12
1174;right;12
1175;right;12
1176;right;12
1177;right;12
1178;right;12
1179;right;12
1180;right;12
1181;right;12
1182;right;12
1183;right;12
1184;right;12
1185;right;12
1186;right;12
1187;right;12
1188;right;12
1189;right;12
1190;right;12
1191;right;12
1192;right;12
1193;right;12
1194;right;12
1195;right;12
1196;right;12
1197;right;12
1198;right;12
1199;right;12
1200;right;12
1201;right;12
1202;right;12
1203;right;12
1204;right;12
1205;right;12
1206;right;12
1207;right;12
1208;right;12
1209;right;12
1210;right;12
1211;right;12
1212;right;12
1213;right;12
1214;right;12
1215;right;12
1216;right;12
1217;right;12
1218;right;12
1219;right;12
1220;right;12
1221;right;12
1222;right;12
1223;right;12
1224;right;12
1225;right;12
1226;right;12
1227;right;12
1228;right;12
1229;right;12
1230;right;12
1231;right;12
1232;right;12
1233;right;12
1234;right;12
1235;right;12
1236;right;12
1237;right;12
1238;right;12
1239;right;12
1240;right;12
1241;right;12
1242;right;12
1243;right;12
1244;right;12
1245;right;12
1246;right;12
1247;right;12
1248;right;12
1249;right;12
1250;right;12
1251;right;12
1252;right;12
1253;right;12
1254;right;12
1255;right;12
1256;right;12
1257;right;12
1258;right;12
1259;right;12
1260;right;12
1261;right;12
1262;right;12
1263;right;12
1264;right;12
1265;right;12
1266;right;12
1267;right;12
1268;right;12
1269;right;12
1270;right;12
1271;right;12
1272;right;12
1273;right;12
1274;right;12
1275;right;12
1276;right;12
1277;right;12
1278;right;12
1279;right;12
1280;right;12
1281;right;12
1282;right;12
1283;right;12
1284;right;12
1285;right;12
1286;right;12
1287;right;12
1288;right;12
1289;right;12
1290;right;12
1291;right;12
1292;right;12
1293;right;12
1294;right;12
1295;right;12
1296;right;12
1297;right;12
1298;right;12
1299;right;12
1300;right;12
1301;right;12
1302;right;12
1303;right;12
1304;right;12
1305;right;12
1306;right;12
1307;right;12
1308;right;12
1309;right;12
1310;right;12
1311;right;12
1312;right;12
1313;right;12
1314;right;12
1315;right;12
1316;right;12
1317;right;12
1318;right;12
1319;right;12
1320;right;12
1321;right;12
1322;right;12
1323;right;12
1324;right;12
1325;right;12
1326;right;12
1327;right;12
1328;right;12
1329;right;12
1330;right;12
1331;right;12
1332;right;12
1333;right;12
1334;right;12
1335;right;12
1336;right;12
1337;right;12
1338;right;12
1339;right;12
1340;right;12
1341;right;12
1342;right;12
1343;right;12
1344;right;12
1345;right;12
1346;right;12
1347;right;12
1348;right;12
1349;right;12
1350;right;12
1351;right;12
1352;right;12
1353;right;12
1354;right;12
1355;right;12
1356;right;12
1357;right;12
1358;right;12
1359;right;12
1360;right;12
1361;right;12
1362;right;12
1363;right;12
1364;right;12
1365;right;12
1366;right;12
1367;right;12
1368;right;11
1369;right;11
1370;right;11
1371;right;10
1372;right;10
1373;right;9
1374;right;9
1375;right;8
1376;right;8
1377;right;7
1378;right;6
1379;right;6
1380;right;5
1381;right;4
1382;right;4
1383;right;3
1384;right;3
1385;right;2
1386;right;1
1387;right;1
1388;right;0
1389;right;0
1390;left;236
1391;left;235
1392;left;235
1393;left;234
1394;left;233
1395;left;233
1396;left;232
1397;left;232
1398;left;231
1399;left;231
1400;left;230
1401;left;230
1402;left;229
1403;left;228
1404;left;228
1405;left;227
1406;left;226
1407;left;226
1408;left;225
1409;left;225
1410;left;224
1411;left;223
1412;left;223
1413;left;222
1414;left;222
1415;left;221
1416;left;221
1417;left;220
1418;left;219
1419;left;219
1420;left;218
1421;left;218
1422;left;217
1423;left;216
1424;left;216
1425;left;215
1426;left;215
1427;left;214
1428;left;214
1429;left;213
1430;left;212
1431;left;212
1432;left;211
1433;left;211
1434;left;210
1435;left;209
1436;left;209
1437;left;208
1438;left;207
1439;left;207
1440;left;206
1441;left;206
1442;left;205
1443;left;205
1444;left;204
1445;left;203
1446;left;203
1447;left;202
1448;left;202
1449;left;201
1450;left;201
1451;left;200
1452;left;199
1453;left;199
1454;left;198
1455;left;198
1456;left;197
1457;left;197
1458;left;196
1459;left;195
1460;left;195
1461;left;194
1462;left;193
1463;left;193
1464;left;192
1465;left;192
1466;left;191
1467;left;191
1468;left;190
1469;left;189
1470;left;189
1471;left;188
1472;left;188
1473;left;187
1474;left;187
1475;left;186
1476;left;185
1477;left;185
1478;left;184
1479;left;183
1480;left;183
1481;left;182
1482;left;182
1483;left;181
1484;left;181
1485;left;180
1486;left;179
1487;left;179
1488;left;178
1489;left;178
1490;left;177
1491;left;176
1492;left;176
1493;left;175
1494;left;175
1495;left;174
1496;left;173
1497;left;173
1498;left;172
1499;left;172
1500;left;171
1501;left;171
1502;left;170
1503;left;169
1504;left;169
1505;left;168
1506;left;168
1507;left;167
1508;left;166
1509;left;166
1510;left;165
1511;left;165
1512;left;164
1513;left;164
1514;left;163
1515;left;162
1516;left;162
1517;left;161
1518;left;161
1519;left;160
1520;left;160
1521;left;159
1522;left;159
1523;left;158
1524;left;157
1525;left;157
1526;left;156
1527;left;156
1528;left;155
1529;left;154
1530;left;154
1531;left;153
1532;left;153
1533;left;152
1534;left;152
1535;left;151
1536;left;150
1537;left;150
1538;left;149
1539;left;149
1540;left;148
1541;left;147
1542;left;147
1543;left;146
1544;left;146
1545;left;145
1546;left;144
1547;left;144
1548;left;143
1549;left;143
1550;left;142
1551;left;142
1552;left;141
1553;left;140
1554;left;140
1555;left;139
1556;left;139
1557;left;138
1558;left;138
1559;left;137
1560;left;136
1561;left;136
1562;left;135
1563;left;135
1564;left;134
1565;left;134
1566;left;133
1567;left;133
1568;left;132
1569;left;131
1570;left;131
1571;left;130
1572;left;130
1573;left;129
1574;left;128
1575;left;128
1576;left;127
1577;left;127
1578;left;126
1579;left;126
1580;left;125
1581;left;124
1582;left;124
1583;left;123
1584;left;123
1585;left;122
1586;left;121
1587;left;121
1588;left;120
1589;left;120
1590;left;119
1591;left;118
1592;left;118
1593;left;117
1594;left;117
1595;left;116
1596;left;116
1597;left;115
1598;left;114
1599;left;114
1600;left;113
1601;left;113
1602;left;112
1603;left;112
1604;left;111
1605;left;111
1606;left;110
1607;left;109
1608;left;109
1609;left;108
1610;left;107
1611;left;107
1612;left;106
1613;left;106
1614;left;105
1615;left;104
1616;left;104
1617;left;103
1618;left;103
1619;left;102
1620;left;102
1621;left;101
1622;left;100
1623;left;100
1624;left;99
1625;left;99
1626;left;98
1627;left;98
1628;left;97
1629;left;97
1630;left;96
1631;left;95
1632;left;95
1633;left;94
1634;left;94
1635;left;93
1636;left;92
1637;left;92
1638;left;91
1639;left;91
1640;left;90
1641;left;90
1642;left;89
1643;left;88
1644;left;88
1645;left;87
1646;left;87
1647;left;86
1648;left;86
1649;left;85
1650;left;85
1651;left;84
1652;left;83
1653;left;83
1654;left;82
1655;left;81
1656;left;81
1657;left;80
1658;left;80
1659;left;79
1660;left;78
1661;left;78
1662;left;77
1663;left;77
1664;left;76
1665;left;76
1666;left;75
1667;left;74
1668;left;74
1669;left;73
1670;left;73
1671;left;72
1672;left;71
1673;left;71
1674;left;70
1675;left;70
1676;left;69
1677;left;68
1678;left;68
1679;left;67
1680;left;67
1681;left;66
1682;left;66
1683;left;65
1684;left;64
1685;left;64
1686;left;63
1687;left;62
1688;left;62
1689;left;61
1690;left;61
1691;left;60
1692;left;60
1693;left;59
1694;left;58
1695;left;58
1696;left;57
1697;left;57
1698;left;56
1699;left;55
1700;left;55
1701;left;54
1702;left;54
1703;left;53
1704;left;52
1705;left;52
1706;left;51
1707;left;51
1708;left;50
1709;left;49
1710;left;49
1711;left;48
1712;left;48
1713;left;47
1714;left;47
1715;left;46
1716;left;45
1717;left;45
1718;left;44
1719;left;44
1720;left;43
1721;left;43
1722;left;42
1723;left;42
1724;left;41
1725;left;40
1726;left;40
1727;left;39
1728;left;39
1729;left;38
1730;left;38
1731;left;37
1732;left;36
1733;left;36
1734;left;35
1735;left;35
1736;left;34
1737;left;34
1738;left;33
1739;left;32
1740;left;32
1741;left;31
1742;left;31
1743;left;30
1744;left;30
1745;left;29
1746;left;28
1747;left;28
1748;left;27
1749;left;26
1750;left;26
1751;left;25
1752;left;25
1753;left;24
1754;left;23
1755;left;23
1756;left;22
1757;left;22
1758;left;21
1759;left;21
1760;left;20
1761;left;19
1762;left;19
1763;left;18
1764;left;17
1765;left;17
1766;left;16
1767;left;16
1768;left;15
1769;left;15
1770;left;14
1771;left;13
1772;left;13
1773;left;12
1774;left;12
1775;left;11
1776;left;11
1777;left;10
1778;left;10
1779;left;10
1780;left;10
1781;left;10
1782;left;10
1783;left;10
1784;left;10
1785;left;10
1786;left;10
1787;left;10
1788;left;10
1789;left;10
1790;left;10
1791;left;10
1792;left;10
1793;left;10
1794;left;10
1795;left;10
1796;left;10
1797;left;10
1798;left;10
1799;left;10
1800;left;10
1801;left;10
1802;left;10
1803;left;10
1804;left;10
1805;left;10
1806;left;10
1807;left;10
1808;left;10
1809;left;10
1810;left;10
1811;left;10
1812;left;10
1813;left;10
1814;left;10
1815;left;10
1816;left;10
1817;left;10
1818;left;10
1819;left;10
1820;left;10
1821;left;10
1822;left;10
1823;left;10
1824;left;10
1825;left;10
1826;left;10
1827;left;10
